,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,6051.9,5350,5516.7,8265.1,4035.8,3741.3,4473.6,5360.4,4950.8,8569.8,21425.3,3815.2,5506.6,14365.6,9206.6,3341.8,17709.3,13069.2,12443.5,7624,7009.1,5735.5,4151.1,4679.2,4889.3,5048.7,13743.1,15766,17009.9
1,6933.3,0,3722,903.9,2330.1,2291.4,6485.2,2982.4,1968.2,4298.5,3308.1,24379.9,6379.6,3132.2,9509.3,7344.8,6897.8,12888,8247.9,5496.6,5762.3,5147.3,3722.2,7923.4,5628,11727.1,1613.3,8921.8,10944.8,12188.6
2,5092.7,3752.3,0,4091.5,5902.9,2620,2772.2,3204.1,3759.5,585.6,3082.3,18940.2,2666.6,979.8,9387.5,4228.4,3184.9,16285.7,7179.5,5758.5,2645.9,2030.9,466.8,4210.4,1915,7536.2,2924.6,7886.3,14342.5,15586.3
3,6311.9,1093.7,3770.8,0,3317.5,2199.9,7133.7,2360.9,1075.9,4347.3,3873.5,23758.4,7207.6,3181,10074.6,7393.6,7510.1,12266.5,7626.5,7000.7,5811,5196.1,3770.9,8751.4,6306.2,11105.6,1412.8,8300.4,10323.3,11567.2
4,8796,2747,5872.7,2939.6,0,4684,9617.8,4845,3893.6,6449.2,4262.3,19296.3,8530.3,5282.9,9499.8,9495.5,9048.5,10372.2,4620.6,3586.9,7913,7298,5872.9,10074.1,7778.7,13589.7,4161.2,5327.4,8428.9,9672.8
5,4032.7,2309,2529.2,1773.8,4839.1,0,4854.5,878.4,1367.8,2731.4,5016.7,21005.6,4928.4,1930.4,11329.1,6147.8,5231,13714.5,9074.4,8448.7,4565.2,3950.3,2535.8,6472.2,3997.7,8922,1305.8,9748.3,11771.3,13015.1
6,3730.7,6487.6,2908.5,6416.8,8638.1,4935.8,0,5373.6,6260.5,2186.6,4580.6,11486.5,139.6,3724.4,10765.3,5606.2,657.9,18609.3,8677.8,7256.8,4023.7,3408.7,2971.4,1683.4,1003.6,5009.2,5948.8,9384.6,16666.1,17909.9
7,4479.5,2930.3,3138.2,1964.3,4777.2,878.3,5301.3,0,1121.3,3333.9,5710.1,22095.3,5375.2,2539.4,11911.2,6756.8,5677.8,13652.6,9012.5,8386.8,5174.2,4559.3,3144.8,6919,4473.8,9273.3,1893.4,9686.4,11709.4,12953.2
8,5403.3,2113.3,3663.1,1216.7,6523.6,1295.1,6225.1,1121.3,0,4239.6,4893,22856.5,6299,2956.3,11094.2,7285.9,6601.6,12775.4,8135.3,7509.6,5703.3,5088.4,3663.2,7842.8,5397.6,10197,1411.3,8809.2,10832.1,12076
9,4808.5,4300.9,721.8,4640.1,6451.5,2749.8,2186.6,3333.9,4074.4,0,3400.2,18354.6,2081,1537.8,9973.7,4546.3,2599.3,16415.5,7497.4,6076.4,2963.7,2366.1,784.7,3624.9,1329.5,6950.7,3473.2,8204.2,14472.3,15716.1
10,8147.8,2840,3057.7,3681.4,4262.3,5069,4580.6,5759.9,4745.8,3400.2,0,14269.1,4475,3590.9,6238.6,5186.5,4993.3,9343.6,4097.2,2676.2,3617.4,3002.5,2618.7,6018.9,3723.5,9344.7,4390.9,4804,7400.4,8644.3
11,21285.1,25200,13204.7,24234.1,19278.2,21743.9,11853,22854.5,23645.2,12947.8,13964.6,0,11747.4,14020.7,9820.9,9303.8,17065.2,23132.6,18163.2,16765.9,11092.4,11691.7,13214.9,16846.3,18885.1,15990.1,22756.8,18622.2,23686.8,22136.2
12,3804.5,6382,2802.9,6490.7,8532.5,5009.7,139.6,5225.4,6334.4,2081,4475,11380.9,0,3618.8,10659.7,5500.6,518.3,18461.1,8572.2,7151.2,3918.1,3303.1,2865.8,1555.1,898,4869.6,5554.2,9279,16517.9,17761.7
13,5112.8,3159.1,598.8,3498.3,5309.7,1955.2,3368.3,2564.3,3166.3,1181.7,3063.7,19536.3,3262.7,0,9376.4,4217.4,3781,15482.5,6744.5,5605.3,2634.8,2019.9,605.4,4806.6,2511.2,8132.4,2331.4,7451.3,13539.2,14783.1
14,14277.9,9332.9,8878.1,10174.4,9493,11086,10648.2,12252.8,11238.7,9469.5,6530.4,9591.3,10542.6,9660.2,0,4668.3,11060.9,13607.2,8377.9,6980.7,6456.9,7056.2,8432.7,10670.6,9791,15045,10547.8,8836.9,10978.7,12610.8
15,9354.7,7440.6,4209.8,7779.8,9450.7,6147.6,5606.5,6756.7,7353,4546.3,5225.8,8819.2,5500.9,4573.4,4674.4,0,6019.2,13735.3,9357.1,7959.9,1788.6,2387.9,3764.5,6106.9,4749.3,9943.3,6518.2,9816.1,11957.8,12738.9
16,3360.8,6900.2,3321.1,6793.2,9050.8,5312.3,657.9,5750.1,6637,2599.3,4993.3,16715.7,518.3,4137.1,11177.9,6018.9,0,18985.8,9090.5,7669.5,4436.3,3821.4,3384,1036.8,1416.3,4351.4,6072.5,9797.3,17042.6,18286.4
17,19400.9,14504.2,17656.9,13874.5,11868.5,15288.9,20222.8,15450,15026.4,18062.6,9345.5,22768.3,20296.6,16950.1,13470.1,13734.1,20599.2,0,5248.3,6691.5,13333,13925.1,17657.1,21840.5,19395.2,24194.7,15390.1,4768.5,2262.8,1215.3
18,12966.4,8069.7,7154.8,7439.9,4620.6,8854.4,8677.8,9015.4,8591.9,7497.4,4097.2,18074.6,8572.2,7404.4,8385.6,9358.1,9090.5,5246.5,0,1443.2,8957,7471.9,6715.9,10116,7820.6,17760.1,8955.5,706.8,3303.3,4547.1
19,12319,5043.5,5733.9,5869.8,3586.9,8207,7256.8,8368,7944.5,6076.4,2676.2,16785.5,7151.2,6370.7,6989,7956.2,7669.5,6689.6,1443.2,0,6483.5,5952,5294.9,8695.1,6399.7,17112.8,8308.2,2150,4746.4,5990.3
20,7772.2,5763.3,2627.3,6102.5,7913.9,4565,4024,5174.2,5770.5,2963.7,3591.2,10607.8,3918.4,2990.9,6947.7,1788.6,4436.6,13304.6,8926.4,6360.9,0,805.4,2181.9,5462.2,3166.8,8788,4935.6,9385.4,11527.1,12308.2
21,7157.3,5148.4,2012.3,5487.6,7298.9,3950.1,3409,4559.2,5155.5,2348.8,3182.3,11385.2,3303.4,2375.9,7547,2387.9,3821.7,13903.9,7471.9,5952,805.4,0,1567,4847.3,2551.9,8173.1,4320.7,7931,10742.3,12907.5
22,5593.2,3675.6,548.8,4014.7,5826.1,2486.6,2971.4,3095.7,3682.7,784.7,2774.9,19139.3,2865.8,912.4,9080,3920.9,3384,15998.9,6872,5451.1,2338.4,1723.5,0,4409.6,2114.2,7735.4,2847.8,7578.8,14055.7,15299.5
23,3504.4,7120.3,3541.2,7013.3,9270.8,5532.3,877.9,5970.1,6857,2819.3,5213.3,16859.2,738.3,4357.1,11398,6238.9,220,19205.8,9310.5,7889.5,4656.4,4041.4,3604.1,0,1636.3,4494.9,6292.5,10017.3,17262.6,18506.4
24,4622.9,5658.7,2079.6,5515.9,7809.2,4035,958,4502.1,5359.6,1357.8,3751.8,17025.2,852.4,2895.5,9936.4,4777.3,1370.7,17737.8,7848.9,6428,3194.8,2150.6,2142.5,2396.2,0,5722,4831,8555.7,15794.6,17038.4
25,4900.7,10952.6,7672.5,10417.4,13627.1,8936.5,5009.2,9257.7,10195.4,6950.7,9344.7,15639.3,4869.6,8453.8,15048.2,9908.6,4351.4,22493.3,17853.3,17227.6,8787.7,8172.8,7735.4,5111.6,5767.7,0,9949.4,18527.2,20550.1,21794
26,4884,1835.7,3126.2,1300.5,4048.9,1029.1,5705.8,1673.6,1250.1,3702.8,4615.5,21856.9,5779.7,2450.6,10920.8,6749,6082.3,13518.4,8878.4,6803.9,5166.5,4551.6,3126.4,7323.5,4848.9,9773.3,0,9552.3,11575.2,12819.1
27,13640.3,8743.6,7861.6,8113.8,5327.4,9528.3,9384.6,9689.3,9265.8,8204.2,4804,18533.6,9279,8111.2,8844.7,9817.1,9797.3,4766.7,706.8,2150,9416,7931,7422.7,10822.8,8527.4,18434,9629.4,0,2823.5,4067.3
28,15690,10793.3,13946,10163.5,8157.5,11578,16511.8,11739,11315.5,14351.7,7393.4,23516.3,16585.7,13239.1,10971.2,11943.7,16888.3,2434.8,3296.2,4739.4,11542.6,10735.3,13946.1,18129.5,15684.3,20483.7,11679.1,2816.4,0,1735.4
29,16933.1,12036.4,15189,11406.6,9400.6,12821.1,17754.9,12982.1,12558.5,15594.7,8636.5,21782.5,17828.8,14482.2,12484.2,12796.6,18131.3,1224.6,4539.3,5982.5,12395.5,12987.6,15189.2,19372.6,16927.4,21726.8,12922.2,4059.5,1553.8,0